region_id,region_name,date,rainfall_mm_3h,rainfall_mm_24h,slope_deg,soil_moisture,river_level_m,land_use_type,risk_score,flood_occurred
REG_00144,Kullu,2024-02-29,11.41,103.55,27.29,0.348,2.53,Urban,38.9,0
REG_00145,Pakyong,2021-07-17,39.69,124.71,34.91,0.521,3.06,Forest,41.5,0
REG_00146,Chamoli,2023-07-15,71.51,100.07,16.38,0.484,2.39,Barren,38.3,0
REG_00147,Mangan,2024-06-24,32.44,64.21,22.88,0.34,1.25,Forest,24.3,0
REG_00148,Kinnaur,2021-11-29,20.56,34.26,41.62,0.319,0.59,Urban,28.6,0
REG_00149,Pakyong,2025-11-30,29.44,96.71,47.79,0.406,1.92,Agriculture,37.7,0
REG_00150,Shimla,2020-01-02,54.34,165.48,22.19,0.542,3.74,Agriculture,48.5,0
REG_00151,Mandi,2021-10-03,11.02,83.61,23.1,0.332,2.55,Urban,35.5,0
REG_00152,Mangan,2024-05-08,9.01,64.05,33.9,0.242,2.67,Forest,26.5,0
REG_00153,Shimla,2022-05-04,28.97,149.75,59.05,0.515,3.62,Forest,49.4,0
REG_00154,Chamba,2024-10-25,27.58,85.11,37.51,0.302,1.79,Forest,29.3,0
REG_00155,Shimla,2024-07-19,107.23,253.58,50.67,0.906,5.35,Forest,73.4,0
REG_00156,Rudraprayag,2023-02-27,54.89,130.93,55.93,0.433,3.77,Barren,50.0,0
REG_00157,Shimla,2022-12-12,16.81,63.16,41.84,0.363,2.68,Barren,35.8,0
REG_00158,Shimla,2024-09-03,189.27,200.91,35.96,0.579,3.91,Barren,58.7,0
REG_00159,Chamba,2024-08-22,61.18,79.69,48.23,0.327,1.68,Urban,37.4,0
REG_00160,Namchi,2024-09-29,51.3,176.68,25.94,0.581,4.04,Urban,56.0,0
REG_00161,Dehradun,2023-12-10,8.91,61.96,58.63,0.289,2.7,Forest,31.6,0
REG_00162,Gangtok,2022-04-15,8.45,113.13,33.77,0.431,3.23,Agriculture,40.5,0
REG_00163,Dehradun,2020-07-21,176.16,280.56,56.41,0.899,6.07,Barren,83.7,1
REG_00164,Kullu,2020-05-02,36.95,94.91,47.99,0.471,2.77,Forest,38.4,0
REG_00165,Kinnaur,2021-02-04,53.33,166.75,20.58,0.58,4.36,Urban,54.6,0
REG_00166,Dehradun,2022-02-05,2.66,82.1,21.03,0.345,1.83,Urban,33.9,0
REG_00167,Pithoragarh,2020-10-20,5.3,108.68,27.49,0.371,2.47,Forest,33.5,0
REG_00168,Gangtok,2020-07-16,62.41,119.5,28.6,0.443,3.27,Barren,43.3,0
REG_00169,Uttarkashi,2025-04-14,11.54,57.08,10.75,0.222,1.26,Forest,18.5,0
REG_00170,Kangra,2025-12-31,19.66,55.33,52.79,0.278,1.96,Barren,33.1,0
REG_00171,Uttarkashi,2021-08-31,74.69,102.08,22.02,0.526,3.07,Agriculture,39.4,0
REG_00172,Mangan,2023-02-21,6.85,67.13,51.24,0.406,1.69,Forest,31.9,0
REG_00173,Uttarkashi,2020-07-05,54.25,82.81,34.14,0.374,1.98,Agriculture,33.2,0
REG_00174,Pakyong,2024-11-29,13.68,84.86,39.6,0.414,1.95,Agriculture,35.2,0
REG_00175,Gyalshing,2021-10-21,5.92,44.03,36.82,0.231,1.84,Agriculture,25.2,0
REG_00176,Pithoragarh,2025-05-09,15.09,62.64,57.23,0.265,2.43,Agriculture,32.8,0
REG_00177,Haridwar,2023-10-01,6.3,86.7,30.9,0.326,2.35,Agriculture,32.6,0
REG_00178,Haridwar,2025-06-09,67.61,165.61,29.44,0.554,3.4,Agriculture,49.4,0
REG_00179,Namchi,2024-03-14,7.8,47.33,40.74,0.32,1.17,Urban,31.2,0
REG_00180,Pithoragarh,2020-05-26,31.33,56.24,29.09,0.234,1.8,Agriculture,25.4,0
REG_00181,Kangra,2024-09-30,90.0,159.1,40.37,0.578,2.59,Forest,46.9,0
REG_00182,Shimla,2025-01-17,22.08,87.3,38.62,0.412,1.4,Forest,31.7,0
REG_00183,Kullu,2021-05-03,27.27,140.56,48.75,0.513,3.08,Agriculture,48.0,0
REG_00184,Kullu,2025-05-13,23.33,60.14,59.5,0.267,2.43,Agriculture,33.0,0
REG_00185,Gangtok,2024-07-21,114.18,150.29,58.87,0.547,3.21,Forest,49.4,0
REG_00186,Kinnaur,2021-10-02,18.45,92.04,16.19,0.39,1.42,Barren,33.0,0
REG_00187,Namchi,2024-12-07,27.0,82.86,32.61,0.394,2.44,Barren,36.8,0
REG_00188,Gangtok,2025-05-23,21.6,117.58,31.12,0.504,3.65,Agriculture,43.3,0
REG_00189,Gyalshing,2023-12-09,21.48,86.65,19.53,0.308,2.26,Barren,32.6,0
REG_00190,Gyalshing,2024-06-22,31.18,102.76,47.19,0.429,2.11,Urban,43.3,0
REG_00191,Kinnaur,2020-09-19,41.99,86.14,58.43,0.396,1.93,Agriculture,38.0,0
REG_00192,Chamba,2024-11-22,19.81,76.06,17.63,0.364,1.47,Urban,32.4,0
REG_00193,Kullu,2025-12-31,8.96,92.61,23.61,0.407,3.74,Agriculture,36.9,0
REG_00194,Chamoli,2021-09-15,70.37,81.32,52.75,0.336,1.66,Urban,38.5,0
REG_00195,Shimla,2022-10-13,10.86,162.03,25.26,0.502,3.85,Forest,45.4,0
REG_00196,Chamba,2022-05-30,11.2,45.94,32.06,0.188,1.25,Barren,24.9,0
REG_00197,Dehradun,2025-08-11,74.49,134.46,47.02,0.539,3.75,Forest,46.5,0
REG_00198,Chamba,2023-08-20,63.36,105.67,16.3,0.415,2.57,Agriculture,35.1,0
REG_00199,Shimla,2021-03-28,40.74,143.13,36.36,0.526,3.03,Urban,50.5,0
REG_00200,Chamoli,2023-03-29,4.66,64.72,15.48,0.32,2.78,Forest,25.7,0
REG_00201,Mandi,2025-08-18,95.95,298.41,25.27,0.888,6.05,Barren,80.3,1
REG_00202,Dehradun,2024-08-09,105.21,203.16,21.85,0.712,4.8,Forest,56.7,0
REG_00203,Rudraprayag,2023-02-28,42.6,47.92,46.51,0.255,1.23,Forest,24.2,0
REG_00204,Namchi,2021-02-07,17.37,95.91,17.53,0.426,2.12,Agriculture,33.5,0
REG_00205,Haridwar,2025-10-02,26.16,33.64,43.1,0.229,0.54,Forest,19.9,0
REG_00206,Mandi,2024-08-23,136.94,158.84,38.78,0.437,3.39,Forest,44.7,0
REG_00207,Shimla,2021-09-19,53.0,104.54,43.79,0.381,2.69,Agriculture,38.9,0
REG_00208,Gangtok,2021-08-09,45.04,142.56,53.83,0.562,2.76,Agriculture,49.7,0
REG_00209,Kinnaur,2024-07-06,77.13,121.99,36.71,0.409,3.39,Urban,45.8,0
REG_00210,Kinnaur,2023-12-14,13.91,116.19,46.03,0.474,2.91,Barren,45.9,0
REG_00211,Shimla,2023-12-16,26.53,70.43,50.23,0.343,1.31,Barren,34.8,0
REG_00212,Tehri,2020-04-13,4.95,30.41,44.78,0.231,1.2,Urban,27.7,0
REG_00213,Haridwar,2020-09-10,132.59,198.96,25.95,0.657,4.69,Agriculture,57.8,0
REG_00214,Pithoragarh,2024-02-05,19.93,55.72,58.07,0.321,1.85,Agriculture,32.4,0
REG_00215,Shimla,2020-04-08,13.59,15.77,13.04,0.204,0.79,Agriculture,15.2,0
REG_00216,Chamba,2025-02-27,16.56,57.05,28.62,0.241,1.97,Urban,29.9,0
REG_00217,Mandi,2025-04-03,32.71,94.4,51.07,0.442,2.12,Urban,43.3,0
REG_00218,Pakyong,2022-05-27,23.64,70.55,27.5,0.421,1.68,Urban,35.2,0
REG_00219,Uttarkashi,2020-12-03,16.32,69.21,37.3,0.257,1.6,Agriculture,28.4,0
REG_00220,Kullu,2022-08-14,65.82,202.56,16.72,0.632,4.07,Forest,52.4,0
REG_00221,Mandi,2024-08-31,67.35,147.49,52.84,0.6,3.43,Agriculture,52.4,0
REG_00222,Pithoragarh,2020-06-09,99.04,126.62,56.56,0.439,3.53,Forest,44.2,0
REG_00223,Uttarkashi,2024-05-22,13.3,154.1,59.2,0.561,2.97,Agriculture,52.3,0
REG_00224,Chamba,2021-02-01,24.41,69.51,13.85,0.318,3.09,Barren,31.5,0
REG_00225,Uttarkashi,2023-07-24,45.8,108.52,19.96,0.491,1.97,Agriculture,36.7,0
REG_00226,Kinnaur,2022-03-26,9.24,77.97,34.75,0.332,2.26,Barren,34.7,0
REG_00227,Pakyong,2024-03-07,16.18,160.8,23.63,0.468,4.46,Agriculture,47.8,0
REG_00228,Tehri,2025-04-03,14.09,22.12,42.13,0.236,2.18,Forest,21.9,0
REG_00229,Mangan,2023-11-16,9.7,81.77,52.27,0.411,2.5,Barren,40.5,0
REG_00230,Namchi,2023-03-04,6.25,72.64,16.35,0.352,2.43,Forest,26.9,0
REG_00231,Haridwar,2023-05-03,8.57,95.89,10.16,0.35,2.3,Agriculture,30.7,0
REG_00232,Tehri,2021-02-04,45.01,80.98,59.69,0.339,2.51,Urban,41.4,0
REG_00233,Gyalshing,2021-10-01,9.68,72.08,32.52,0.343,1.96,Agriculture,30.8,0
REG_00234,Dehradun,2021-04-04,17.11,71.89,13.42,0.361,1.83,Forest,25.3,0
REG_00235,Kullu,2022-08-12,51.38,98.04,39.42,0.435,2.39,Agriculture,38.2,0
REG_00236,Chamoli,2021-04-14,13.06,64.61,47.66,0.303,1.79,Barren,33.6,0
REG_00237,Dehradun,2022-11-11,30.06,53.14,50.06,0.309,1.72,Agriculture,30.2,0
REG_00238,Kangra,2024-08-20,64.81,147.43,38.46,0.484,2.66,Agriculture,45.5,0
REG_00239,Tehri,2025-09-16,61.0,79.49,43.98,0.43,2.66,Agriculture,37.2,0
REG_00240,Mandi,2021-07-16,52.97,70.0,33.81,0.231,1.9,Forest,25.4,0
REG_00241,Kullu,2024-12-04,13.43,31.34,40.99,0.322,0.54,Forest,21.6,0
REG_00242,Uttarkashi,2025-09-05,87.47,205.24,57.58,0.588,4.85,Urban,66.4,0
REG_00243,Chamba,2020-08-13,25.99,75.78,59.38,0.315,2.51,Forest,33.6,0
REG_00244,Pakyong,2022-03-08,5.43,78.67,41.38,0.268,1.51,Barren,32.8,0
REG_00245,Chamoli,2022-08-17,88.49,194.81,39.2,0.664,4.76,Forest,57.4,0
REG_00246,Chamba,2024-02-13,16.9,50.35,27.28,0.297,1.22,Barren,27.3,0
REG_00247,Chamoli,2021-03-28,10.58,81.93,26.21,0.325,2.15,Agriculture,30.9,0
REG_00248,Rudraprayag,2022-03-26,22.82,109.81,56.22,0.357,2.75,Forest,38.6,0
REG_00249,Mangan,2021-10-20,12.14,72.58,43.26,0.379,1.85,Forest,30.8,0
REG_00250,Pakyong,2021-06-30,109.71,151.9,32.93,0.517,3.31,Urban,51.3,0
REG_00251,Kullu,2023-04-30,10.23,81.56,43.3,0.357,2.31,Agriculture,34.8,0
REG_00252,Gangtok,2020-01-17,7.88,41.64,16.05,0.206,0.67,Forest,16.0,0
REG_00253,Kinnaur,2023-05-28,72.22,143.96,57.17,0.546,3.2,Forest,48.4,0
REG_00254,Tehri,2022-12-05,25.84,39.52,36.12,0.234,0.5,Forest,19.5,0
REG_00255,Namchi,2025-11-16,8.81,76.74,26.7,0.356,1.69,Forest,27.7,0
REG_00256,Tehri,2024-11-03,12.21,80.21,10.66,0.315,1.57,Forest,24.1,0
REG_00257,Chamba,2022-11-26,10.27,68.59,43.86,0.344,1.55,Agriculture,31.5,0
REG_00258,Mandi,2020-10-28,3.79,38.28,58.48,0.236,1.26,Agriculture,27.1,0
REG_00259,Dehradun,2020-06-29,61.55,80.44,37.93,0.264,2.36,Agriculture,31.5,0
REG_00260,Rudraprayag,2021-08-29,77.76,87.8,26.63,0.387,3.17,Agriculture,35.2,0
REG_00261,Haridwar,2021-11-30,39.41,147.32,30.92,0.55,3.58,Forest,45.2,0
REG_00262,Tehri,2022-09-19,68.67,96.33,38.43,0.341,1.63,Urban,37.9,0
REG_00263,Dehradun,2023-02-13,11.36,44.44,44.44,0.331,1.06,Forest,25.0,0
REG_00264,Namchi,2020-07-09,142.5,162.97,19.17,0.506,3.28,Agriculture,45.9,0
REG_00265,Dehradun,2022-09-07,127.95,220.14,56.76,0.725,4.24,Forest,63.7,0
REG_00266,Kullu,2025-06-29,77.53,117.48,30.72,0.529,3.46,Urban,47.5,0
REG_00267,Rudraprayag,2023-03-30,16.86,77.99,41.22,0.443,2.2,Barren,38.5,0
REG_00268,Gyalshing,2020-05-07,21.4,42.72,55.57,0.203,1.6,Forest,24.5,0
REG_00269,Shimla,2025-08-27,52.89,115.98,38.92,0.48,2.07,Barren,43.2,0
REG_00270,Shimla,2024-12-21,16.37,48.68,44.18,0.25,1.6,Forest,24.5,0
REG_00271,Namchi,2024-10-24,9.81,92.33,41.66,0.334,2.7,Urban,40.0,0
REG_00272,Chamba,2021-07-23,129.98,223.28,22.4,0.721,5.03,Barren,64.9,0
REG_00273,Mangan,2023-09-08,46.37,77.62,58.15,0.394,1.86,Agriculture,36.8,0
REG_00274,Kangra,2025-03-10,19.11,90.84,33.62,0.372,2.98,Forest,33.5,0
REG_00275,Chamoli,2021-09-17,82.36,200.56,14.92,0.577,5.08,Forest,52.5,0
REG_00276,Mangan,2024-08-13,135.12,169.38,59.9,0.509,3.82,Urban,58.6,0
REG_00277,Kangra,2020-06-03,56.59,256.3,42.5,0.828,5.77,Forest,71.2,0
REG_00278,Shimla,2023-11-10,9.48,40.97,40.42,0.278,1.26,Agriculture,25.5,0
